realvd,sortby,direct,day,time,speed,accu,jam_percent,congest
VTZY920,0.0,1,0,9,36.24525,4.73,0.8537,0.0
VTZY920,0.0,1,0,10,36.237667,8.82,0.9024,0.0
VTZY920,0.0,1,0,11,34.968754,7.5299997,0.9756,0.0
VTZY920,0.0,1,0,12,34.898937,7.55,0.9512,0.0
VTZY920,0.0,1,0,13,32.3841,8.0,0.8049,0.2285
VTZY920,0.0,1,0,14,32.250458,8.175,0.8293,0.2475
VTZY920,0.0,1,0,15,32.27438,10.455,0.9512,0.3587
VTZY920,0.0,1,0,16,31.039705,12.3,0.9512,0.5457
VTZY920,0.0,1,0,17,31.243347,9.675,0.9512,0.3998
VTZY920,0.0,1,0,18,31.126259,10.235001,0.9756,0.4366
VTZY920,0.0,1,0,19,30.285,5.34,0.9756,0.259
VTZY920,0.0,1,0,20,34.06947,5.715,0.9512,0.0
VTZY920,0.0,1,0,21,33.67249,6.7349997,1.0,0.0
VTZY920,0.0,1,0,22,34.826664,6.175,0.9512,0.0
VTZY920,0.0,1,0,23,36.436954,4.535,0.561,0.0
VTZY920,0.0,1,1,0,37.542828,2.845,0.0,0.0
VTZY920,0.0,1,1,1,38.986237,1.55,0.0,0.0
VTZY920,0.0,1,1,2,37.656303,0.975,0.0,0.0
VTZY920,0.0,1,1,3,36.77543,0.71500003,0.0,0.0
VTZY920,0.0,1,1,4,39.50069,0.51,0.0,0.0
VTZY920,0.0,1,1,5,35.055,0.295,0.0,0.0
VTZY920,0.0,1,1,6,36.309574,1.065,0.0,0.0
VTZY920,0.0,1,1,7,35.41244,1.5150001,0.0,0.0
VTZY920,0.0,1,1,8,37.235138,3.88,0.9268,0.0
VTZY920,0.0,1,1,9,38.14571,4.325,0.878,0.0
VTZY920,0.0,1,1,10,34.447308,7.8849998,0.9024,0.0
VTZY920,0.0,1,1,11,32.329185,9.715,0.9268,0.3178
VTZY920,0.0,1,1,12,30.269676,9.35,0.878,0.459
VTZY920,0.0,1,1,13,31.960175,8.095,0.9268,0.266
VTZY920,0.0,1,1,14,28.928759,11.885,0.9512,0.6884
VTZY920,0.0,1,1,15,29.753155,13.24,0.9268,0.6918
VTZY920,0.0,1,1,16,30.659649,8.000750045,0.9756,0.3619
VTZY920,0.0,1,1,17,29.74418,13.424999,0.9756,0.7017
VTZY920,0.0,1,1,18,30.998178,9.63,0.9756,0.4165
VTZY920,0.0,1,1,19,32.293076,5.655,0.9756,0.1193
VTZY920,0.0,1,1,20,32.3544,6.2599998,0.9756,0.1445
VTZY920,0.0,1,1,21,36.87714,4.925,0.9512,0.0
VTZY920,0.0,1,1,22,37.83766,5.575,0.9512,0.0
VTZY920,0.0,1,1,23,38.393494,2.525,0.6341,0.0
VTZY920,0.0,1,2,0,35.07353,2.44,0.0,0.0
VTZY920,0.0,1,2,1,38.574013,1.04,0.0,0.0
VTZY920,0.0,1,2,2,36.138,0.465,0.0,0.0
VTZY920,0.0,1,2,3,37.5617957368,0.295,0.0,0.0
VTZY920,0.0,1,2,4,35.502857,0.55,0.0,0.0
VTZY920,0.0,1,2,5,36.4410062105,0.43674999625,0.0,0.0
VTZY920,0.0,1,2,6,36.86699,1.36,0.0,0.0
VTZY920,0.0,1,2,7,36.642857,1.5999999,0.0,0.0
VTZY920,0.0,1,2,8,34.493707875,6.2929999925,0.8293,0.0
VTZY920,0.0,1,2,9,33.328606,10.505,0.878,0.2796
VTZY920,0.0,1,2,10,37.22392,6.15,0.9024,0.0
VTZY920,0.0,1,2,11,32.617317,7.66,1.0,0.1936
VTZY920,0.0,1,2,12,33.562286,6.665,0.9756,0.0
VTZY920,0.0,1,2,13,32.4232,7.875,0.9512,0.2193
VTZY920,0.0,1,2,14,30.403751,7.365,0.9024,0.3502
VTZY920,0.0,1,2,15,32.069427,6.8500004,0.9756,0.1958
VTZY920,0.0,1,2,16,33.35275,8.975,0.9024,0.2019
VTZY920,0.0,1,2,17,31.37362,11.035,1.0,0.4571
VTZY920,0.0,1,2,18,29.582607,14.2,1.0,0.7526
VTZY920,0.0,1,2,19,31.905474,12.04,1.0,0.4658
VTZY920,0.0,1,2,20,33.91541,10.545,1.0,0.0
VTZY920,0.0,1,2,21,33.06275,7.0,1.0,0.1264
VTZY920,0.0,1,2,22,36.600765,5.51,0.9512,0.0
VTZY920,0.0,1,2,23,38.8678,3.5,0.6585,0.0
VTZY920,0.0,1,3,0,36.74963,2.18,0.0,0.0
VTZY920,0.0,1,3,1,34.546047,1.365,0.0,0.0
VTZY920,0.0,1,3,2,33.31531,0.75,0.0,0.0
VTZY920,0.0,1,3,3,35.398,0.425,0.0,0.0
VTZY920,0.0,1,3,4,35.310223,0.42000002,0.0,0.0
VTZY920,0.0,1,3,5,33.96393,0.18,0.0,0.0
VTZY920,0.0,1,3,6,32.059284,1.76,0.0,0.0
VTZY920,0.0,1,3,7,38.84613,3.175,0.0,0.0
VTZY920,0.0,1,3,8,36.849007,7.765,0.878,0.0
VTZY920,0.0,1,3,9,38.28864,6.425,0.8537,0.0
VTZY920,0.0,1,3,10,36.475986,7.255,0.878,0.0
VTZY920,0.0,1,3,11,36.402485,5.5550003,0.9756,0.0
VTZY920,0.0,1,3,12,32.71798,9.01,0.9512,0.2527
VTZY920,0.0,1,3,13,29.080135,7.66,0.9268,0.4672
VTZY920,0.0,1,3,14,31.601093,5.5249996,0.9756,0.1664
VTZY920,0.0,1,3,15,33.507973,7.615,0.9512,0.0
VTZY920,0.0,1,3,16,33.871567,8.175,1.0,0.0
VTZY920,0.0,1,3,17,33.073544,9.69,1.0,0.259
VTZY920,0.0,1,3,18,28.909212,11.045,1.0,0.6482
VTZY920,0.0,1,3,19,30.770668,9.264999,0.9756,0.416
VTZY920,0.0,1,3,20,33.271767,9.295,1.0,0.224
VTZY920,0.0,1,3,21,36.1494,6.065,0.9512,0.0
VTZY920,0.0,1,3,22,36.382908,6.765,1.0,0.0
VTZY920,0.0,1,3,23,37.441097,3.8600001,0.6341,0.0
VSHZU60,1.0,2,4,0,44.344303,1.23,0.0,0.0
VSHZU60,1.0,2,4,1,47.93362,0.565,0.0,0.0
VSHZU60,1.0,2,4,2,48.232784,0.29,0.0,0.0
VSHZU60,1.0,2,4,3,45.768238,0.265,0.0,0.0
VSHZU60,1.0,2,4,4,46.19,0.065,0.0,0.0
VSHZU60,1.0,2,4,5,45.67042,0.075,0.0,0.0
VSHZU60,1.0,2,4,6,45.488,0.41500002,0.0,0.0
VSHZU60,1.0,2,4,7,45.686832,0.65,0.0,0.0
VSHZU60,1.0,2,4,8,43.902725,1.7249999,0.0,0.0
VSHZU60,1.0,2,4,9,43.779793,1.81,0.0,0.0
VSHZU60,1.0,2,4,10,43.014908,1.875,0.0,0.0
VSHZU60,1.0,2,4,11,42.623898,2.175,0.0,0.0
VSHZU60,1.0,2,4,12,43.084873,1.46,0.0,0.0
VSHZU60,1.0,2,4,13,43.7443,1.865,0.0,0.0
VSHZU60,1.0,2,4,14,44.275677,1.415,0.0,0.0
VSHZU60,1.0,2,4,15,44.92638,1.69,0.0,0.0
VSHZU60,1.0,2,4,16,42.718,2.29,0.0,0.0
VSHZU60,1.0,2,4,17,41.0335,2.55,0.0,0.0
VSHZU60,1.0,2,4,18,44.406544,2.175,0.0,0.0
VSHZU60,1.0,2,4,19,38.583866,2.99282049744,0.0,0.0
VSHZU60,1.0,2,4,20,43.541775,3.7649999,0.0,0.0
VSHZU60,1.0,2,4,21,41.096664,4.245,0.0,0.0
VSHZU60,1.0,2,4,22,42.519608,3.3999999,0.0,0.0
VSHZU60,1.0,2,4,23,43.08144,2.6999998,0.0,0.0
VSHZU60,1.0,2,5,0,46.467293,1.5500001,0.0,0.0
VSHZU60,1.0,2,5,1,47.266026,0.825,0.0,0.0
VSHZU60,1.0,2,5,2,43.677143,0.75,0.0,0.0
VSHZU60,1.0,2,5,3,47.33,0.29999998,0.0,0.0
VSHZU60,1.0,2,5,4,47.89065,0.215,0.0,0.0
VSHZU60,1.0,2,5,5,47.7027,0.16,0.0,0.0
VSHZU60,1.0,2,5,6,46.90678,0.33499998,0.0,0.0
VSHZU60,1.0,2,5,7,47.894398,0.595,0.0,0.0
VSHZU60,1.0,2,5,8,44.680107,1.3249999,0.0,0.0
VSHZU60,1.0,2,5,9,44.11754,1.76,0.0,0.0
VSHZU60,1.0,2,5,10,41.73,2.675,0.0,0.0
VSHZU60,1.0,2,5,11,40.75076,2.6950002,0.0,0.0
VSHZU60,1.0,2,5,12,40.034927,2.125,0.0,0.0
VSHZU60,1.0,2,5,13,43.87392,1.625,0.0,0.0
VSHZU60,1.0,2,5,14,42.27929,1.9649999,0.0,0.0
VSHZU60,1.0,2,5,15,40.460842,4.44,0.0,0.0
VSHZU60,1.0,2,5,16,42.13818,2.28,0.0,0.0
VSHZU60,1.0,2,5,17,42.536243,2.35,0.0,0.0
VSHZU60,1.0,2,5,18,43.653755,1.865,0.0,0.0
VSHZU60,1.0,2,5,19,40.47719,4.095,0.0,0.0
VSHZU60,1.0,2,5,20,41.731323,2.59,0.0,0.0
VSHZU60,1.0,2,5,21,42.039757,2.3449998,0.0,0.0
VSHZU60,1.0,2,5,22,43.53435,2.665,0.0,0.0
VSHZU60,1.0,2,5,23,43.69849,2.61,0.0,0.0
VSHZU60,1.0,2,6,0,46.645,0.96999997,0.0,0.0
VSHZU60,1.0,2,6,1,45.1826,0.85999995,0.0,0.0
VSHZU60,1.0,2,6,2,45.969177,0.41,0.0,0.0
VSHZU60,1.0,2,6,3,43.427704,1.89,0.0,0.0
VSHZU60,1.0,2,6,4,35.342,1.115,0.0,0.0
VSHZU60,1.0,2,6,5,32.775074,1.3050001,0.0,0.0
VSHZU60,1.0,2,6,6,44.813595,0.12,0.0,0.0
VSHZU60,1.0,2,6,7,45.66369,0.485,0.0,0.0
VSHZU60,1.0,2,6,8,42.212357,1.38,0.0,0.0
VSHZU60,1.0,2,6,9,40.81391,2.0349998,0.0,0.0
VSHZU60,1.0,2,6,10,39.485035,2.685,0.0,0.0
VSHZU60,1.0,2,6,11,39.607727,2.81,0.0,0.0
VSHZU60,1.0,2,6,12,43.62687,1.655,0.0,0.0
VSHZU60,1.0,2,6,13,43.74638,1.325,0.0,0.0
VSHZU60,1.0,2,6,14,41.193977,1.785,0.0,0.0
VSHZU60,1.0,2,6,15,39.8456,2.515,0.0,0.0
VSHZU60,1.0,2,6,16,37.253124,3.215,0.0,0.0
VSHZU60,1.0,2,6,17,41.614174,2.02,0.0,0.0
VSHZU60,1.0,2,6,18,41.2067,1.8000001,0.0,0.0
VSHZU60,1.0,2,6,19,40.333763,2.2,0.0,0.0
VSHZU60,1.0,2,6,20,40.48662,1.395,0.0,0.0
VSHZU60,1.0,2,6,21,41.57794,1.35,0.0,0.0
VSHZU60,1.0,2,6,22,40.621258,1.345,0.0,0.0
VSHZU60,1.0,2,6,23,41.448864,0.99,0.0,0.0
VSHZU60,1.0,2,0,0,43.304,0.545,0.0,0.0
VSHZU60,1.0,2,0,1,46.642067,0.22,0.0,0.0
VSHZU60,1.0,2,0,2,44.8576,0.16,0.0,0.0
VSHZU60,1.0,2,0,3,45.61226,0.074999996,0.0,0.0
VSHZU60,1.0,2,0,4,46.72,0.065,0.0,0.0
VSHZU60,1.0,2,0,5,47.334286,0.049999997,0.0,0.0
VSHZU60,1.0,2,0,6,45.19654,0.2,0.0,0.0
VSHZU60,1.0,2,0,7,45.66709,0.445,0.0,0.0
VSHZU60,1.0,2,0,8,42.860348,0.985,0.0,0.0
VSHZU60,1.0,2,0,9,43.67452,1.2,0.0,0.0
VSHZU60,1.0,2,0,10,40.129475,2.1,0.0,0.0
VSHZU60,1.0,2,0,11,41.85096,1.865,0.0,0.0
VSHZU60,1.0,2,0,12,43.333057,1.865,0.0,0.0
VSHZU60,1.0,2,0,13,41.957146,1.71,0.0,0.0
VSHZU60,1.0,2,0,14,41.927223,2.125,0.0,0.0
VSHZU60,1.0,2,0,15,36.35567,5.1850004,0.0,0.3611
VSHZU60,1.0,2,0,16,37.928333,3.395,0.0,0.0
VSHZU60,1.0,2,0,17,39.83739,2.185,0.0,0.0
VSHZU60,1.0,2,0,18,39.74576,1.925,0.0,0.0
VSHZU60,1.0,2,0,19,40.98,1.63,0.0,0.0
VSHZU60,1.0,2,0,20,40.650658,1.6,0.0,0.0
VSHZU60,1.0,2,0,21,41.130272,1.41,0.0,0.0
VSHZU60,1.0,2,0,22,42.324753,1.215,0.0,0.0
VSHZU60,1.0,2,0,23,40.709545,1.16,0.0,0.0
VSHZU60,1.0,2,1,0,47.072613,0.425,0.0,0.0
VSHZU60,1.0,2,1,1,48.265717,0.185,0.0,0.0
VSHZU60,1.0,2,1,2,45.76315,0.165,0.0,0.0
VSHZU60,1.0,2,1,3,46.92762,0.065,0.0,0.0
VSHZU60,1.0,2,1,4,48.946316,0.025,0.0,0.0
VSHZU60,1.0,2,1,5,45.481937,0.085,0.0,0.0
VSHZU60,1.0,2,1,6,45.003574,0.16000001,0.0,0.0
VSHZU60,1.0,2,1,7,46.404503,0.515,0.0,0.0
VSHZU60,1.0,2,1,8,41.345566,0.9,0.0,0.0
VSHZU60,1.0,2,1,9,41.746243,1.4150001,0.0,0.0
VSHZU60,1.0,2,1,10,42.346058,1.8699999,0.0,0.0
VSHZU60,1.0,2,1,11,41.37099,5.295,0.0,0.1203
VSHZU60,1.0,2,1,12,42.962063,1.67,0.0,0.0
VSHZU60,1.0,2,1,13,42.335434,1.84,0.0,0.0
VSHZU60,1.0,2,1,14,39.461945,2.875,0.0,0.0
VSHZU60,1.0,2,1,15,39.296574,6.455,0.0,0.6272
VSHZU60,1.0,2,1,16,39.916092,2.3899999,0.0,0.0
VSHZU60,1.0,2,1,17,40.601086,2.8400002,0.0,0.0
VSHZU60,1.0,2,1,18,41.182743,2.57,0.0,0.0
VSHZU60,1.0,2,1,19,39.743687,2.725,0.0,0.0
VSHZU60,1.0,2,1,20,39.634,2.25,0.0,0.0
VSHZU60,1.0,2,1,21,40.29245,2.0249999,0.0,0.0
VSHZU60,1.0,2,1,22,43.09809,1.73,0.0,0.0
VSHZU60,1.0,2,1,23,40.83902,1.075,0.0,0.0
VSHZU60,1.0,2,2,0,44.538837,0.5,0.0,0.0
VSHZU60,1.0,2,2,1,46.551224,0.185,0.0,0.0
VSHZU60,1.0,2,2,2,47.644283,0.1,0.0,0.0
VSHZU60,1.0,2,2,3,47.292583,0.065,0.0,0.0
VSHZU60,1.0,2,2,4,43.78,0.035,0.0,0.0
VSHZU60,1.0,2,2,5,46.270386,0.09,0.0,0.0
VSHZU60,1.0,2,2,6,43.72889,0.38,0.0,0.0
VSHZU60,1.0,2,2,7,42.210003,0.45,0.0,0.0
VSHZU60,1.0,2,2,8,41.6430433,1.540124996,0.0,0.0
VSHZU60,1.0,2,2,9,42.6368212,1.533125005,0.0,0.0
VSHZU60,1.0,2,2,10,39.031994,3.7800002,0.0,0.0
VSHZU60,1.0,2,2,11,41.82123,1.21,0.0,0.0
